source,target,edge_type,weight
user_22954,video_V_jU_ssWvc4,watch,0.1
user_22954,video_NukmFF__G-g,watch,0.1
user_22954,video_1purAy2MsOc,watch,0.1
user_22954,video_1qKBNKtzTWg,watch,0.1
user_410420,video_6EHbZKLkeMg,watch,0.1
user_410420,video_af6L1jBZGYA,watch,0.1
user_410420,video_WCKG9J1d5iE,watch,0.1
user_410420,video_nZM9Ko806Bg,watch,0.1
user_410420,video_kA66nAvEEII,watch,0.1
user_410420,video_s1APv5uO2VU,watch,0.1
user_410420,video_kzFHjyysXr0,watch,0.1
user_410420,video_FhllRWReNEE,watch,0.1
user_410420,video_Uv2LvQ0FEvo,watch,0.1
user_113534,video_Evz-ZQC8wss,watch,0.1
user_113534,video_Nl0iGMkxwcc,watch,0.1
user_113534,video_HhGJBBPVpqQ,watch,0.1
user_113534,video_XXRBLyQQ78A,watch,0.1
user_113534,video_7LjC-nUPrNg,watch,0.1
user_113534,video_aEM2kOrrNJI,watch,0.1
user_113534,video_XkVwqEdYlNA,watch,0.1
user_113534,video_ssk48FCVolk,watch,0.1
user_13772,video_WyZz9muaKFc,watch,0.1
user_13772,video_PzcaR1N0pTI,watch,0.1
user_13772,video_Q3jege0p0dQ,watch,0.1
user_13772,video_GYLBjScgb7o,watch,0.1
user_13772,video_BHloD113J54,watch,0.1
user_13772,video_DV1OqgHb3jc,watch,0.1
user_13772,video_5TbUxGZtwGI,watch,0.1
user_125689,video_ANDqRchWuMc,watch,0.1
user_125689,video_TM42O6kYbI8,watch,0.1
user_125689,video_AV5TOlGFHk0,watch,0.1
user_125689,video_JRocY48P0qA,watch,0.1
user_125689,video_VXQ1FD77egw,watch,0.1
user_125689,video_byBCkV_j-As,watch,0.1
user_125689,video__NWs7ntMRBA,watch,0.1
user_125689,video_ys6KVWA4okw,watch,0.1
user_87395,video_1purAy2MsOc,watch,0.1
user_87395,video_tpa4kp4lK60,watch,0.1
user_87395,video_FlsCjmMhFmw,watch,0.1
user_87395,video_4HX6R88QZB0,watch,0.1
user_87395,video_kxkrdLI6e6M,watch,0.1
user_4295,video_jCb-WcxO5SU,watch,0.1
user_4295,video_lD1mPectYOM,watch,0.1
user_4295,video_b03U6BYF9L0,watch,0.1
user_4295,video_VH-DA0YgHHU,watch,0.1
user_4295,video_tUbky9YzPZY,watch,0.1
user_4295,video_oyC4lLTOyL8,watch,0.1
user_397186,video_lBHPVE3AI6Y,watch,0.1
user_397186,video_VH-DA0YgHHU,watch,0.1
user_397186,video_ODLwIlXK-9o,watch,0.1
user_397186,video_-txKpma65ZU,watch,0.1
user_397186,video__6lGaYh71g4,watch,0.1
user_397186,video_SkcucKDrbOI,watch,0.1
user_397186,video_JlcJaCS4BPM,watch,0.1
user_397186,video_6gFj1XJ6b5o,watch,0.1
user_397186,video_7uvxjNut1gk,watch,0.1
user_146322,video_jpH-8HiMCRI,watch,0.1
user_146322,video_iNT-tPrz4OM,watch,0.1
user_146322,video_86ysRAffCpI,watch,0.1
user_146322,video_oxd0unpN_Hw,watch,0.1
user_146322,video_OTEIbWy8AvY,watch,0.1
user_170638,video_mhog9LEMCDY,watch,0.1
user_170638,video_K5lmXgKi6V0,watch,0.1
user_170638,video_SkcucKDrbOI,watch,0.1
user_170638,video_NWOz3OZ6J9M,watch,0.1
user_170638,video_Txlk7PiHaGk,watch,0.1
user_170638,video_Oc27GxSD_bI,watch,0.1
user_170638,video_lJmDmfQOWVw,watch,0.1
user_435982,video_FBhVIhmh_N8,watch,0.1
user_435982,video_X9Qh8vsSE-c,watch,0.1
user_435982,video_LU86T12xBQQ,watch,0.1
user_435982,video_VXQ1FD77egw,watch,0.1
user_435982,video_CT-orZzuN2A,watch,0.1
user_435982,video_GYLBjScgb7o,watch,0.1
user_435982,video_dbMtuJ1tZnc,watch,0.1
user_435982,video_SkcucKDrbOI,watch,0.1
user_435982,video_XbuQAbG2AZ0,watch,0.1
user_105466,video_tEnCoocmPQM,watch,0.1
user_105466,video_JWH5KE1atAg,watch,0.1
user_105466,video___-22AJoFxY,watch,0.11507617099520746
user_105466,video_-xAMnJgc3oA,watch,0.1
user_105466,video_RxlSl-kG3qg,watch,0.1
user_105466,video_SFr0fCgrTNQ,watch,0.1
user_105466,video_wAQ7autd61g,watch,0.1
user_105466,video_ondQYFBvk6M,watch,0.1
user_105466,video_0bSE-rh7jFg,watch,0.1
user_105466,video_vDtyaRoonx4,watch,0.1
user_391585,video_h-h5Mhlt6O0,watch,0.1
user_391585,video_rZQepOFnYi8,watch,0.1
user_391585,video_0bSE-rh7jFg,watch,0.1
user_391585,video_fVVS9Tng7C0,watch,0.1
user_391585,video_c835XURBeLQ,watch,0.1
user_391585,video_UKserM-i0_A,watch,0.1
user_391585,video_TTogFxTu_vA,watch,0.1
user_391585,video_aEM2kOrrNJI,watch,0.1
user_391585,video_8ll04Zzw5UM,watch,0.1
user_265403,video_jVNepCaqJok,watch,0.1
user_265403,video_86ysRAffCpI,watch,0.1
user_265403,video__PgMjA4x3rE,watch,0.1
user_265403,video_lk8lozFBXpo,watch,0.1
user_265403,video_Hgc2njyY4Rs,watch,0.1
user_248149,video_XbuQAbG2AZ0,watch,0.1
user_248149,video_QBzQeyHh0i8,watch,0.1
user_248149,video_86ysRAffCpI,watch,0.1
user_248149,video_D8PXRnN0KPU,watch,0.1
user_248149,video_K5lmXgKi6V0,watch,0.1
user_248149,video__6lGaYh71g4,watch,0.1
user_248149,video_C7mxTEskjQg,watch,0.1
user_35778,video__6lGaYh71g4,watch,0.1
user_35778,video_O4_JNAFClFk,watch,0.1
user_35778,video_MKc22HuE_94,watch,0.1
user_35778,video_ys6KVWA4okw,watch,0.1
user_35778,video_qeWvgZLz9yU,watch,0.1
user_113498,video_J_CFBjAyPWE,watch,0.1
user_113498,video_4VDylTCCzOY,watch,0.1
user_113498,video_zPJl2e38S4g,watch,0.1
user_113498,video_lJkXbzQPIkM,watch,0.1
user_113498,video_jsnyz__pc5M,watch,0.1
user_113498,video_LnA7Au-DLUM,watch,0.1
user_113498,video_WCKG9J1d5iE,watch,0.1
user_480182,video_XkVwqEdYlNA,watch,0.1
user_480182,video_hB07EJhMBRs,watch,0.1
user_480182,video_Hgiu9cqph5Y,watch,0.1
user_480182,video_wAQ7autd61g,watch,0.1
user_480182,video_ijUK3z5rt5s,watch,0.1
user_170930,video_ulCdoCfw-bY,watch,0.1
user_170930,video_nranUeNkXpM,watch,0.1
user_170930,video_XzzQL96yAwE,watch,0.1
user_170930,video_nk3a7zq84Co,watch,0.1
user_170930,video_h-h5Mhlt6O0,watch,0.1
user_170930,video_xqj7XOv9mC8,watch,0.1
user_355620,video_lBbSzQXQknw,watch,0.1
user_355620,video_-BDImdAfodA,watch,0.1
user_355620,video_WyZz9muaKFc,watch,0.1
user_355620,video_hBvcngHRTFg,watch,0.1
user_355620,video_8jp3SxojXpU,watch,0.1
user_355620,video_4cXsgT3ZcL8,watch,0.1
user_355620,video_Oc27GxSD_bI,watch,0.1
user_355620,video_V5cOvyDpWfM,watch,0.1
user_125478,video_PzcaR1N0pTI,watch,0.1
user_125478,video_jpH-8HiMCRI,watch,0.1
user_125478,video_uA8GdJJqz_s,watch,0.1
user_125478,video_prmQgSpV3fA,watch,0.1
user_125478,video_PeYARbPHcvk,watch,0.1
user_446987,video_uA8GdJJqz_s,watch,0.1
user_446987,video_iNT-tPrz4OM,watch,0.1
user_446987,video_zNqSvg5qwGw,watch,0.1
user_446987,video_dx9mF1KJr0s,watch,0.1
user_446987,video_D6Oy4LfoqsU,watch,0.1
user_774,video_4L-BPQVZYXM,watch,0.1
user_774,video_al2l6YLt7cg,watch,0.12510187570715922
user_774,video_T1B1CxmAXLk,watch,0.1
user_774,video_pqzopUurZPc,watch,0.1
user_774,video_aTvw9_dxBlk,watch,0.1
user_774,video_fNVUTgd4pio,watch,0.1
user_774,video_CwKp6Xhy3_4,watch,0.1
user_774,video_7uvxjNut1gk,watch,0.1
user_774,video_5XUwdZkM6N8,watch,0.1
user_774,video_n5IdKE3rhII,watch,0.1
user_26667,video_WKcYTvyoidw,watch,0.1
user_26667,video_Fj3euSYAtnc,watch,0.10548065054663182
user_26667,video_oRArmtMA9AI,watch,0.1
user_26667,video_flLc6LmAG6c,watch,0.1
user_26667,video_NKin_i1pcFA,watch,0.1
user_26667,video_dwEKqAwoz0Y,watch,0.1
user_26667,video_UKserM-i0_A,watch,0.1
user_26667,video_dEs6-IfOGbw,watch,0.1
user_26667,video_Dan2YMDCpms,watch,0.1
user_26667,video_zPJl2e38S4g,watch,0.1
user_218602,video_rYzLh2QuraQ,watch,0.1
user_218602,video_OAGfx7eB3gA,watch,0.1
user_218602,video_CvkOWb1U-LI,watch,0.1
user_218602,video__6lGaYh71g4,watch,0.1
user_218602,video__fVUX6-7VKE,watch,0.1
user_218602,video_t1shnJT8NCY,watch,0.1
user_218602,video_oFqHvacY9Kk,watch,0.1
user_218602,video_PAHm7SEhhuw,watch,0.1
user_218602,video_NZxVghfY6dk,watch,0.1
user_69545,video_8fbyfDbi-MI,watch,0.1
user_69545,video_ijUK3z5rt5s,watch,0.1
user_69545,video_FlsCjmMhFmw,watch,0.1
user_69545,video_6j-s9E3dRQ0,watch,0.1
user_69545,video_Xpv-sEKl1B4,watch,0.1
user_69545,video_Qcj15vHJTtk,watch,0.1
user_69545,video_jsnyz__pc5M,watch,0.1
user_69545,video_Eswl8SSywzA,watch,0.1
user_184824,video_Txlk7PiHaGk,watch,0.1
user_184824,video_vug4bROR79I,watch,0.1
user_184824,video_MaTSyJDoxPo,watch,0.1
user_184824,video_lBHPVE3AI6Y,watch,0.1
user_184824,video_CT-orZzuN2A,watch,0.1
user_184824,video_pFc6I0rgmgY,watch,0.1
user_184824,video_T1B1CxmAXLk,watch,0.1
user_184824,video_bEWLOo12UAU,watch,0.1
user_184824,video_OZsYiWBgFOk,watch,0.1
user_287868,video_Ji_4dH_FXzw,watch,0.1
user_287868,video_D8PXRnN0KPU,watch,0.1
user_287868,video_XXRBLyQQ78A,watch,0.1
user_287868,video_fNVUTgd4pio,watch,0.1
user_287868,video_aEM2kOrrNJI,watch,0.1
user_287868,video_NukmFF__G-g,watch,0.1
user_169749,video_Kf2-86o5S1o,watch,0.1
user_169749,video_XzzQL96yAwE,watch,0.1
user_169749,video_86ysRAffCpI,watch,0.1
user_169749,video_XbuQAbG2AZ0,watch,0.1
user_169749,video_dbMtuJ1tZnc,watch,0.1
user_169749,video_er2kQ21ZTG0,watch,0.1
user_169749,video_H7gh2fmdjCU,watch,0.1
user_169749,video_8ll04Zzw5UM,watch,0.1
user_169749,video_LU86T12xBQQ,watch,0.1
user_68271,video_sYvH7Y16iUM,watch,0.1
user_68271,video_7LjC-nUPrNg,watch,0.1
user_68271,video_OAGfx7eB3gA,watch,0.1
user_68271,video__kwsw07w8lU,watch,0.1
user_68271,video_UelDrZ1aFeY,watch,0.1
user_68271,video_BlHVpQfxJt4,watch,0.1
user_148250,video_Bzji05zubSc,watch,0.1
user_148250,video_b191evqWAwE,watch,0.1
user_148250,video_8bn9OBHoO0k,watch,0.1
user_148250,video_-C5q3oir8gA,watch,0.1
user_148250,video_45tSUnisIos,watch,0.1
user_148250,video_iZUfPIKbgUM,watch,0.1
user_148250,video_s1APv5uO2VU,watch,0.1
user_14945,video__fVUX6-7VKE,watch,0.1
user_14945,video_Bzji05zubSc,watch,0.1
user_14945,video_kUosDBUjq5A,watch,0.1
user_14945,video_iZUfPIKbgUM,watch,0.1
user_14945,video_pqzopUurZPc,watch,0.1
user_14945,video_HhGJBBPVpqQ,watch,0.1
user_14945,video_9reizHjwuNY,watch,0.1
user_14945,video_0EPY1CKFecs,watch,0.1
user_208683,video_qK11sSjEM3c,watch,0.1
user_208683,video_pMpQABKlC-I,watch,0.1
user_208683,video_sJzWZ1yXpek,watch,0.1
user_208683,video_KORiXf-u21Y,watch,0.1
user_208683,video_kfOeQj7HsCE,watch,0.1
user_208683,video_JWH5KE1atAg,watch,0.1
user_208683,video_hahlygBa6yQ,watch,0.1
user_208683,video_fNVUTgd4pio,watch,0.1
user_278190,video_rZQepOFnYi8,watch,0.1
user_278190,video_uSTNyHkde08,watch,0.1
user_278190,video_hBvcngHRTFg,watch,0.1
user_278190,video_nranUeNkXpM,watch,0.1
user_278190,video_ZqOtqz8bSDk,watch,0.1
user_278190,video_1qKBNKtzTWg,watch,0.1
user_278190,video_xYtsL9znopI,watch,0.1
user_74011,video_7OsFH1XBUG8,watch,0.1
user_74011,video_KQkkgD2p3Ow,watch,0.1
user_74011,video_oyC4lLTOyL8,watch,0.1
user_74011,video_NWOz3OZ6J9M,watch,0.1
user_74011,video_BlHVpQfxJt4,watch,0.1
user_74011,video_Hgc2njyY4Rs,watch,0.1
user_74011,video_Eswl8SSywzA,watch,0.1
user_74011,video_FR5WT12B_88,watch,0.1
user_201426,video_FlsCjmMhFmw,watch,0.1
user_201426,video_Fj3euSYAtnc,watch,0.10548065054663182
user_201426,video__oZIbFolJTw,watch,0.1
user_201426,video_TsT5GLWgSkU,watch,0.1
user_201426,video_9DUfFHaUpxg,watch,0.1
user_201426,video_Nl0iGMkxwcc,watch,0.1
user_201426,video_wc4v9uT6GWc,watch,0.1
user_129825,video_vL2-H_0V7nw,watch,0.1
user_129825,video_TsT5GLWgSkU,watch,0.1
user_129825,video_MUWUHf-rzks,watch,0.1
user_129825,video_xf4iv4ic70M,watch,0.1
user_129825,video_MaTSyJDoxPo,watch,0.1
user_129825,video_n6gD02uqx5Q,watch,0.1
user_129825,video___-22AJoFxY,watch,0.11507617099520746
user_129825,video_GeF_5qo00Uw,watch,0.1
user_129825,video_QBzQeyHh0i8,watch,0.1
user_129825,video_UYDAgS2Mr6M,watch,0.1
user_180974,video_HOxylh5runs,watch,0.12708015539317152
user_180974,video_9JBKuNrd5m8,watch,0.1
user_180974,video_u7KZrt_cHH0,watch,0.1
user_180974,video_SPJsPQBnA2s,watch,0.1
user_180974,video__vrcsnkXCI8,watch,0.1
user_180974,video_WLagbArQsuE,watch,0.1
user_180974,video_t_bnyOOFDNM,watch,0.1
user_180974,video_n5IdKE3rhII,watch,0.1
user_180974,video_q260bjSiyq0,watch,0.1
user_398918,video_ondQYFBvk6M,watch,0.1
user_398918,video_ulCdoCfw-bY,watch,0.1
user_398918,video_5TbUxGZtwGI,watch,0.1
user_398918,video_PZxyNX8J7Y4,watch,0.1
user_398918,video_U7x9pTb9Lwg,watch,0.1
user_398918,video_ZqOtqz8bSDk,watch,0.1
user_398918,video_S-4rhjO6xYg,watch,0.1
user_398918,video_fKuxh0E9mSI,watch,0.1
user_398918,video_ssk48FCVolk,watch,0.1
user_398918,video_K5lmXgKi6V0,watch,0.1
user_226112,video_CwKp6Xhy3_4,watch,0.1
user_226112,video_CvkOWb1U-LI,watch,0.1
user_226112,video_S0eLwrrTBlc,watch,0.1
user_226112,video_xLkHEZTSeoU,watch,0.1
user_226112,video__6lGaYh71g4,watch,0.1
user_226112,video_zFuOksI6AVg,watch,0.1
user_226112,video_pl-DjiO8das,watch,0.10419187086241292
user_226112,video_OAGfx7eB3gA,watch,0.1
user_505581,video_qeWvgZLz9yU,watch,0.1
user_505581,video_C7mxTEskjQg,watch,0.1
user_505581,video_oxd0unpN_Hw,watch,0.1
user_505581,video_nk3a7zq84Co,watch,0.1
user_505581,video_EhSXsTSNDyo,watch,0.1
user_505581,video_If-n27SUAl8,watch,0.1
user_20775,video_fJe0cmOvM94,watch,0.1
user_20775,video_GStMSkhmYEs,watch,0.1
user_20775,video_gAcvbGuqG0Q,watch,0.1
user_20775,video__wNZbgBPz1Q,watch,0.1
user_20775,video_U7x9pTb9Lwg,watch,0.1
user_20775,video_tpa4kp4lK60,watch,0.1
user_20775,video_lrWRy9BBp-c,watch,0.1
user_20775,video_h-h5Mhlt6O0,watch,0.1
user_339530,video_45tSUnisIos,watch,0.1
user_339530,video_e5IRkF20JmU,watch,0.1
user_339530,video_o7Ax6SRTGks,watch,0.1
user_339530,video_fzmM0AB60QQ,watch,0.1
user_339530,video_jpH-8HiMCRI,watch,0.1
user_339530,video_3yy-dKTmyOo,watch,0.1
user_339530,video_4cXsgT3ZcL8,watch,0.1
user_11867,video_C_SJgw5MVFY,watch,0.1
user_11867,video_9POblaMln4Q,watch,0.1
user_11867,video_qF7SRQFd49E,watch,0.1
user_11867,video_Qcj15vHJTtk,watch,0.1
user_11867,video_86ysRAffCpI,watch,0.1
user_11867,video_XXRBLyQQ78A,watch,0.1
user_11867,video_nZM9Ko806Bg,watch,0.1
user_11867,video_mhog9LEMCDY,watch,0.1
user_11867,video_GeF_5qo00Uw,watch,0.1
user_246476,video_FR5WT12B_88,watch,0.1
user_246476,video_kD-_iyS95AQ,watch,0.1
user_246476,video_s_LxZx42sIk,watch,0.1
user_246476,video_7bDvhiHoH-c,watch,0.1
user_246476,video_Kf2-86o5S1o,watch,0.1
user_246476,video_xf4iv4ic70M,watch,0.1
user_246476,video_e_7zHm7GsYc,watch,0.1
user_246476,video_Wk6Z7HLpx8s,watch,0.1
user_57544,video_BHloD113J54,watch,0.1
user_57544,video_lk8lozFBXpo,watch,0.1
user_57544,video_lOz7cPJQd8E,watch,0.1
user_57544,video_dEs6-IfOGbw,watch,0.1
user_57544,video_QXcbVHFE2bo,watch,0.1
user_57544,video_XCrJ3NflOpE,watch,0.1
user_74200,video_XAzqBDFs418,watch,0.1
user_74200,video_7J4nN0Te9m8,watch,0.1
user_74200,video_al2l6YLt7cg,watch,0.12510187570715922
user_74200,video_XCrJ3NflOpE,watch,0.1
user_74200,video_SPD1v_8RQUY,watch,0.1
user_74200,video___1SjDrSMik,watch,0.10737595028861723
user_514739,video_ife5Zij94_E,watch,0.1
user_514739,video_6EHbZKLkeMg,watch,0.1
user_514739,video__6lGaYh71g4,watch,0.1
user_514739,video_S-4rhjO6xYg,watch,0.1
user_514739,video_UOHURuAf5iY,watch,0.1
user_514739,video_FlsCjmMhFmw,watch,0.1
user_514739,video_y_WoOYybCro,watch,0.1
user_514739,video_jCb-WcxO5SU,watch,0.1
user_33936,video_BlHVpQfxJt4,watch,0.1
user_33936,video_Hgc2njyY4Rs,watch,0.1
user_33936,video_L3br0klRqF4,watch,0.1
user_33936,video__wNZbgBPz1Q,watch,0.1
user_33936,video_S-4rhjO6xYg,watch,0.1
user_33936,video_lOz7cPJQd8E,watch,0.1
user_33936,video_BHloD113J54,watch,0.1
user_9760,video_dEs6-IfOGbw,watch,0.1
user_9760,video_4L-BPQVZYXM,watch,0.1
user_9760,video_nRafaCcfrcI,watch,0.1
user_9760,video_nk3a7zq84Co,watch,0.1
user_9760,video_e0hO5fTGwPY,watch,0.1
user_9760,video_9POblaMln4Q,watch,0.1
user_9760,video_rYzLh2QuraQ,watch,0.1
user_9760,video_lrWRy9BBp-c,watch,0.1
user_9760,video_Pymm6cmE9uQ,watch,0.1
user_268157,video_L3br0klRqF4,watch,0.1
user_268157,video_7bDvhiHoH-c,watch,0.1
user_268157,video_-xAMnJgc3oA,watch,0.1
user_268157,video_nx1R-eHSkfM,watch,0.1
user_268157,video_6EHbZKLkeMg,watch,0.1
user_268157,video_MKc22HuE_94,watch,0.1
user_41606,video_y_WoOYybCro,watch,0.1
user_41606,video_5SNX4JuM39c,watch,0.1
user_41606,video_-o7zywbiFVI,watch,0.1
user_41606,video_RxlSl-kG3qg,watch,0.1
user_41606,video_ife5Zij94_E,watch,0.1
user_41606,video_16a1LttU5qc,watch,0.1
user_41606,video_lBbSzQXQknw,watch,0.1
user_41606,video_0gDVWPPgMKY,watch,0.1
user_41606,video_VXQ1FD77egw,watch,0.1
user_318518,video_ys6KVWA4okw,watch,0.1
user_318518,video_v8VMdSQL50w,watch,0.1
user_318518,video_5SNX4JuM39c,watch,0.1
user_318518,video_QXcbVHFE2bo,watch,0.1
user_318518,video_bcPTiiiYDs8,watch,0.1
user_318518,video_LnA7Au-DLUM,watch,0.1
user_318518,video_oFqHvacY9Kk,watch,0.1
user_318518,video_lJmDmfQOWVw,watch,0.1
user_318518,video_OZsYiWBgFOk,watch,0.1
user_143016,video_LC3fWTXZXxE,watch,0.1
user_143016,video_0bSE-rh7jFg,watch,0.1
user_143016,video_OBOm_jatVCI,watch,0.1
user_143016,video_6Y65fxIRs8Q,watch,0.1
user_143016,video_p1jllz43xZE,watch,0.1
user_143016,video_iNT-tPrz4OM,watch,0.1
user_143016,video_894rSubVE5E,watch,0.1
user_143016,video_Hgiu9cqph5Y,watch,0.1
user_143016,video_jpH-8HiMCRI,watch,0.1
user_42866,video_bEWLOo12UAU,watch,0.1
user_42866,video_GStMSkhmYEs,watch,0.1
user_42866,video_LnA7Au-DLUM,watch,0.1
user_42866,video_Wk6Z7HLpx8s,watch,0.1
user_42866,video_H-WEhug-up8,watch,0.1
user_42866,video_HbKnEQdCjGg,watch,0.1
user_42866,video__6lGaYh71g4,watch,0.1
user_42866,video_REbjfHF0N0s,watch,0.1
user_42866,video_jsnyz__pc5M,watch,0.1
user_42866,video_nZM9Ko806Bg,watch,0.1
user_279205,video_VYOjWnS4cMY,watch,0.1
user_279205,video_6gFj1XJ6b5o,watch,0.1
user_279205,video_CT-orZzuN2A,watch,0.1
user_279205,video_NZxVghfY6dk,watch,0.1
user_279205,video_CvkOWb1U-LI,watch,0.1
user_279205,video_OBOm_jatVCI,watch,0.1
user_279205,video__6lGaYh71g4,watch,0.1
user_208704,video___1SjDrSMik,watch,0.10737595028861723
user_208704,video_cgYHbIEZWW8,watch,0.1
user_208704,video_5y0ARoVF6Qg,watch,0.1
user_208704,video_hiGqKwy4yM0,watch,0.1
user_208704,video_2BwxeOzSx8A,watch,0.1
user_208704,video_BPmAxzEJpWA,watch,0.1
user_208704,video_ryr75N0nki0,watch,0.1
user_446971,video_kxkrdLI6e6M,watch,0.1
user_446971,video_er2kQ21ZTG0,watch,0.1
user_446971,video_y_WoOYybCro,watch,0.1
user_446971,video_rZQepOFnYi8,watch,0.1
user_446971,video_If-n27SUAl8,watch,0.1
user_446971,video_QBzQeyHh0i8,watch,0.1
user_446971,video_KQkkgD2p3Ow,watch,0.1
user_446971,video_CVPp5FtQN8E,watch,0.1
user_94093,video_ic1kMoM_kPw,watch,0.1
user_94093,video_9DUfFHaUpxg,watch,0.1
user_94093,video_C7mxTEskjQg,watch,0.1
user_94093,video_OZsYiWBgFOk,watch,0.1
user_94093,video_fRFCXQ3HgdY,watch,0.1
user_94093,video_5XUwdZkM6N8,watch,0.1
user_94093,video_0gDVWPPgMKY,watch,0.1
user_94093,video_Bn02bclCu5A,watch,0.1
user_74420,video_1h7KV2sjUWY,watch,0.1
user_74420,video_TjXQzRWmb_I,watch,0.1
user_74420,video_aEM2kOrrNJI,watch,0.1
user_74420,video_enH3xA4mYcY,watch,0.1
user_74420,video_U7x9pTb9Lwg,watch,0.1
user_551600,video_REbjfHF0N0s,watch,0.1
user_551600,video_PAHm7SEhhuw,watch,0.1
user_551600,video_wAQ7autd61g,watch,0.1
user_551600,video_H-WEhug-up8,watch,0.1
user_551600,video_4ZO-jde2smo,watch,0.1
user_551600,video_BHloD113J54,watch,0.1
user_337486,video_QBzQeyHh0i8,watch,0.1
user_337486,video_qeWvgZLz9yU,watch,0.1
user_337486,video_CbWP9nvnRhw,watch,0.1
user_337486,video_Pymm6cmE9uQ,watch,0.1
user_337486,video_KQkkgD2p3Ow,watch,0.1
user_337486,video_MSzytvDsPfo,watch,0.1
user_337486,video_y_WoOYybCro,watch,0.1
user_337486,video_5SNX4JuM39c,watch,0.1
user_204324,video_GYLBjScgb7o,watch,0.1
user_204324,video_e77J4g0LMOk,watch,0.1
